STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
1,AMERICAN,American River at Water Treatment Plant,A0714010,38.5596,-121417,Sacramento
2,CACHE,Cache Slough @ Vallejo P.P,B9D81781448,38.2969,-121748,Solano
3,LINDSEY,Lindsey Slough @ Hastings Cut,B9D81581462,38263,-121771,Solano
4,AGDGRAND,Ag Drain on Grand Island,B9V81171369,38.1941,-121617,Sacramento
5,AGDTYLER,Ag Drain on Tyler Island,B9V80801348,38.1324,-121.58,Sacramento
6,LCONNECT,Little Connection Sl. @ Empire Tr.,B9D80371300,38061,-121502,San Joaquin
7,AGDEMPIRE,"Ag Drain on Empire Tract, W.end 8-Mi.Rd.",B9V80361299,38.0602,-121499,San Joaquin
8,ROCKSL@OR,Rock Slough @ Old River,B9D75841348,37.9727,-121582,Contra Costa
9,CLIFTON,Clifton Court Intake,KA000000,37.8298,-121557,Contra Costa
10,DMC Intake,Delta Mendota Canal Intake @ Lindemann Rd.,B9C74901336,37816,-121561,Contra Costa
11,H.O. Banks Headworks,Delta P.P. Headworks at H.O. Banks PP,KA000331,37.8019,-121.62,Alameda
12,MR@BordenHwy,Middle River @ Borden Hwy.,B9D75351293,37891,-121.49,San Joaquin
13,DVSR,Lake Del Valle Stream Release,DV004000,37.5636,-121687,Alameda
14,Mallard Sl@CCWD PP,Mallard Slough at CCWD PP,B8S80221556,38.0358,-121928,Contra Costa
15,NOBAY,North Bay Interim PP Intake,KE000000,38.2019,-122126,Solano
16,BARKER,Barker Slough Near Pumping Plant,B9D81651476,38.2746,-121794,Solano
17,NATOMAS,Natomas Main Drain,A0V83681312,38.6138,-121522,Sacramento
18,BOULDIN1,"Ag Drain on Bouldin Tract, PP. No. 1",B9V80541310,38.0894,-121519,San Joaquin
19,BouldinAgDrain2,"Ag Drain on Bouldin Tract, PP. No. 2",B9V80541311,38.0897,-121519,San Joaquin
20,EGBERTPP01,"Ag Drain on Egbert Tract, PP. No. 1",B9V81181397,38.1971,-121662,Solano
21,EGBERTPP02,"Ag Drain on Egbert Tract, PP. No. 2",B9V81461416,38.2435,-121694,Solano
22,KINGISPP01,"Ag Drain on King Island, PP. No. 1",B9V80461224,38.0758,-121449,San Joaquin
23,KINGISPP02,"Ag Drain on King Island, PP. No. 2",B9V80271262,38.0455,-121437,San Joaquin
24,KINGISPP03,"Ag Drain on King Island, PP. No. 3",B9V80331273,38.0585,-121458,San Joaquin
25,MCCORWIL01,Ag Drain on McCormack/Williams Tr. No.1,B9V81421292,38.2358,-121488,Sacramento
26,MCCORWIL02,Ag Drain on McCormack/Williams Tr. No.2,B9V81551295,38259,-121493,Sacramento
27,MOSSDALE01,"Ag Drain on Mossdale Tract, PP. No. 1",B9V75391195,37.8977,-121326,San Joaquin
28,MOSSDALE02,"Ag Drain on Mossdale Tract, PP. No. 2",B9V75381196,37896,-121327,San Joaquin
29,MOSSDALE03,"Ag Drain on Mossdale Tract, PP. No. 3",B9V75251199,37.8744,-121332,San Joaquin
30,MOSSDALE04,"Ag Drain on Mossdale Tract, PP. No. 4",B9V75221196,37.8702,-121328,San Joaquin
31,MOSSDALE05,"Ag Drain on Mossdale Tract, PP. No. 5",B9V75131191,37.8555,-121319,San Joaquin
